ID_Vehiculo,Marca,Linea,Modelo,Kilometraje,Estado_Vehiculo,Costo_Adquisicion_COP,Valor_Fasecolda_COP,Dias_en_Inventario,Canal_Asignado,Precio_Reserva_COP,Precio_Final_Venta_COP,Estado_Subasta,ID_Comprador,Tipo_Comprador
SIM-1031,Chevrolet,Onix,2021,121352,Regular,47600000.0,58100000.0,120,Venta Directa Flotas,52400000.0,58600000.0,Vendido,CLI-133,Empresa Flotilla
SIM-1032,Renault,Duster,2023,61407,Excelente,70100000.0,82300000.0,15,Subasta Virtual,74100000.0,83600000.0,Vendido,CLI-123,Dealer / Reventa
SIM-1033,Toyota,Corolla,2020,92334,Bueno,69500000.0,89700000.0,30,Subasta Virtual,77400000.0,83600000.0,Vendido,CLI-157,Empresa Flotilla
SIM-1034,Mazda,CX-5,2022,69456,Regular,108000000.0,122900000.0,30,Subasta Virtual,120200000.0,0.0,No Adjudicado,N/A,N/A
SIM-1035,Toyota,Hilux,2022,74273,Bueno,149200000.0,172600000.0,90,Concesionario Aliado,158000000.0,189200000.0,Vendido,CLI-112,Dealer / Reventa
SIM-1036,Hyundai,Tucson,2024,40427,Excelente,100100000.0,123300000.0,30,Subasta Virtual,108800000.0,0.0,No Adjudicado,N/A,N/A
SIM-1037,Kia,Picanto,2019,174629,Bueno,35300000.0,40300000.0,15,Subasta Virtual,38500000.0,0.0,No Adjudicado,N/A,N/A
SIM-1038,Kia,Sportage,2021,105562,Regular,69200000.0,94300000.0,15,Venta Directa Flotas,71100000.0,86500000.0,Vendido,CLI-148,Persona Natural
SIM-1039,Mazda,Mazda 3,2023,65381,Excelente,84600000.0,96400000.0,30,Venta Directa Flotas,91000000.0,109000000.0,Vendido,CLI-139,Dealer / Reventa
SIM-1040,Chevrolet,Tracker,2021,67639,Bueno,53000000.0,71700000.0,45,Venta Directa Flotas,59200000.0,62100000.0,Vendido,CLI-156,Empresa Flotilla
SIM-1041,Mazda,CX-5,2024,25122,Bueno,104900000.0,119900000.0,90,Concesionario Aliado,107800000.0,130700000.0,Vendido,CLI-118,Dealer / Reventa
SIM-1042,Chevrolet,Onix,2022,78384,Excelente,48300000.0,58900000.0,120,Subasta Virtual,53900000.0,0.0,No Adjudicado,N/A,N/A
SIM-1043,Hyundai,Tucson,2020,102284,Excelente,69700000.0,84600000.0,15,Subasta Virtual,72900000.0,72000000.0,Vendido,CLI-109,Dealer / Reventa
SIM-1044,Renault,Kwid,2021,64953,Bueno,31100000.0,42000000.0,120,Venta Directa Flotas,34600000.0,41200000.0,Vendido,CLI-159,Dealer / Reventa
SIM-1045,Toyota,Hilux,2020,148852,Bueno,132000000.0,165600000.0,30,Subasta Virtual,145600000.0,144900000.0,Vendido,CLI-141,Dealer / Reventa
SIM-1046,Chevrolet,Onix,2018,151572,Regular,37000000.0,44600000.0,60,Venta Directa Flotas,40400000.0,0.0,No Adjudicado,N/A,N/A
SIM-1047,Mazda,CX-5,2021,99401,Bueno,90800000.0,104100000.0,15,Venta Directa Flotas,95900000.0,109400000.0,Vendido,CLI-134,Empresa Flotilla
SIM-1048,Renault,Duster,2021,96460,Bueno,61600000.0,76200000.0,90,Subasta Virtual,63000000.0,0.0,No Adjudicado,N/A,N/A
SIM-1049,Chevrolet,Tracker,2023,74238,Bueno,74700000.0,91200000.0,45,Venta Directa Flotas,76900000.0,0.0,No Adjudicado,N/A,N/A
SIM-1050,Chevrolet,Onix,2022,92842,Excelente,47800000.0,58300000.0,120,Concesionario Aliado,51100000.0,55700000.0,Vendido,CLI-134,Empresa Flotilla
SIM-1051,Chevrolet,Tracker,2020,77917,Excelente,56400000.0,74400000.0,15,Subasta Virtual,58300000.0,59700000.0,Vendido,CLI-156,Dealer / Reventa
SIM-1052,Renault,Duster,2021,74550,Bueno,63300000.0,77600000.0,90,Subasta Virtual,64800000.0,71800000.0,Vendido,CLI-112,Dealer / Reventa
SIM-1053,Chevrolet,Tracker,2019,92398,Bueno,51500000.0,66700000.0,30,Subasta Virtual,53300000.0,52300000.0,Vendido,CLI-136,Persona Natural
SIM-1054,Chevrolet,Onix,2021,120062,Regular,49000000.0,60800000.0,15,Subasta Virtual,53500000.0,54300000.0,Vendido,CLI-151,Persona Natural
SIM-1055,Toyota,Hilux,2021,89081,Excelente,127000000.0,172300000.0,45,Subasta Virtual,134300000.0,142000000.0,Vendido,CLI-139,Dealer / Reventa
SIM-1056,Hyundai,Tucson,2019,116314,Bueno,64300000.0,80800000.0,45,Venta Directa Flotas,70300000.0,78800000.0,Vendido,CLI-144,Dealer / Reventa
SIM-1057,Kia,Picanto,2020,91059,Bueno,35300000.0,43200000.0,30,Concesionario Aliado,36000000.0,38400000.0,Vendido,CLI-148,Dealer / Reventa
SIM-1058,Nissan,Versa,2018,183600,Excelente,39300000.0,53900000.0,15,Venta Directa Flotas,44000000.0,0.0,No Adjudicado,N/A,N/A
SIM-1059,Nissan,Versa,2023,42664,Regular,54900000.0,72100000.0,45,Venta Directa Flotas,59100000.0,68800000.0,Vendido,CLI-106,Financiera Partner
SIM-1060,Renault,Kwid,2020,80957,Excelente,31500000.0,41500000.0,45,Venta Directa Flotas,32600000.0,36100000.0,Vendido,CLI-133,Dealer / Reventa
SIM-1061,Toyota,Corolla,2019,113334,Excelente,66500000.0,75700000.0,60,Venta Directa Flotas,72900000.0,79700000.0,Vendido,CLI-155,Persona Natural
SIM-1062,Chevrolet,Onix,2023,72384,Excelente,50700000.0,64600000.0,180,Subasta Virtual,56400000.0,0.0,No Adjudicado,N/A,N/A
SIM-1063,Toyota,Corolla,2023,68180,Excelente,92000000.0,108500000.0,15,Venta Directa Flotas,102200000.0,114600000.0,Vendido,CLI-118,Persona Natural
SIM-1064,Toyota,Hilux,2022,76068,Bueno,160800000.0,196100000.0,30,Subasta Virtual,170300000.0,169600000.0,Vendido,CLI-140,Empresa Flotilla
SIM-1065,Renault,Duster,2020,126109,Regular,55200000.0,66000000.0,15,Subasta Virtual,60400000.0,73700000.0,Vendido,CLI-157,Dealer / Reventa
SIM-1066,Mazda,CX-5,2022,85131,Regular,83200000.0,110500000.0,30,Subasta Virtual,89300000.0,97300000.0,Vendido,CLI-152,Dealer / Reventa
SIM-1067,Toyota,Corolla,2019,149523,Bueno,65100000.0,77900000.0,45,Subasta Virtual,68000000.0,69600000.0,Vendido,CLI-110,Dealer / Reventa
SIM-1068,Mazda,Mazda 3,2020,83961,Bueno,64900000.0,74500000.0,45,Venta Directa Flotas,66300000.0,0.0,Retirado,N/A,N/A
SIM-1069,Renault,Kwid,2024,40935,Bueno,37800000.0,52300000.0,60,Subasta Virtual,38800000.0,45900000.0,Vendido,CLI-111,Empresa Flotilla
SIM-1070,Mazda,CX-5,2024,47941,Bueno,101400000.0,137000000.0,90,Venta Directa Flotas,107500000.0,114000000.0,Vendido,CLI-152,Persona Natural
SIM-1071,Kia,Sportage,2020,143748,Bueno,74700000.0,92700000.0,30,Venta Directa Flotas,79600000.0,86700000.0,Vendido,CLI-151,Dealer / Reventa
SIM-1072,Kia,Picanto,2021,83555,Bueno,37200000.0,42900000.0,45,Subasta Virtual,40400000.0,48900000.0,Vendido,CLI-149,Empresa Flotilla
SIM-1073,Mazda,Mazda 3,2018,157920,Bueno,56200000.0,70200000.0,15,Subasta Virtual,62400000.0,64000000.0,Vendido,CLI-145,Dealer / Reventa
SIM-1074,Toyota,Corolla,2021,94297,Bueno,74900000.0,89800000.0,45,Subasta Virtual,82100000.0,87000000.0,Vendido,CLI-155,Financiera Partner
SIM-1075,Kia,Sportage,2020,73980,Bueno,75800000.0,96500000.0,15,Venta Directa Flotas,77500000.0,80200000.0,Vendido,CLI-159,Empresa Flotilla
SIM-1076,Toyota,Corolla,2019,143399,Excelente,63900000.0,85300000.0,15,Subasta Virtual,69800000.0,0.0,Retirado,N/A,N/A
SIM-1077,Renault,Kwid,2024,32423,Bueno,37000000.0,47100000.0,15,Venta Directa Flotas,40900000.0,48700000.0,Vendido,CLI-129,Dealer / Reventa
SIM-1078,Chevrolet,Tracker,2024,45452,Excelente,71000000.0,91800000.0,30,Concesionario Aliado,74900000.0,0.0,No Adjudicado,N/A,N/A
SIM-1079,Mazda,CX-5,2020,82928,Bueno,94200000.0,111800000.0,90,Concesionario Aliado,103600000.0,102100000.0,Vendido,CLI-114,Persona Natural
SIM-1080,Chevrolet,Tracker,2021,114270,Bueno,55100000.0,74200000.0,180,Subasta Virtual,57700000.0,69200000.0,Vendido,CLI-121,Persona Natural
SIM-1081,Kia,Picanto,2020,136719,Excelente,33700000.0,40900000.0,15,Subasta Virtual,37400000.0,0.0,No Adjudicado,N/A,N/A
SIM-1082,Hyundai,Tucson,2021,114476,Regular,77600000.0,95600000.0,30,Subasta Virtual,81900000.0,0.0,No Adjudicado,N/A,N/A
SIM-1083,Mazda,CX-5,2021,78765,Bueno,83100000.0,106200000.0,30,Subasta Virtual,89500000.0,102000000.0,Vendido,CLI-154,Dealer / Reventa
SIM-1084,Toyota,Corolla,2019,138152,Bueno,57400000.0,75300000.0,15,Venta Directa Flotas,60500000.0,0.0,No Adjudicado,N/A,N/A
SIM-1085,Kia,Picanto,2020,118666,Excelente,33300000.0,40000000.0,30,Subasta Virtual,34000000.0,0.0,No Adjudicado,N/A,N/A
SIM-1086,Hyundai,Tucson,2020,82671,Bueno,72400000.0,83500000.0,150,Subasta Virtual,77800000.0,0.0,No Adjudicado,N/A,N/A
SIM-1087,Mazda,CX-5,2022,98989,Bueno,99700000.0,121300000.0,120,Venta Directa Flotas,102200000.0,101200000.0,Vendido,CLI-116,Financiera Partner
SIM-1088,Toyota,Hilux,2021,67833,Excelente,131400000.0,170700000.0,60,Subasta Virtual,139600000.0,0.0,No Adjudicado,N/A,N/A
SIM-1089,Renault,Kwid,2023,37443,Excelente,39600000.0,46500000.0,45,Subasta Virtual,40700000.0,43200000.0,Vendido,CLI-155,Dealer / Reventa
SIM-1090,Toyota,Hilux,2020,96862,Regular,135100000.0,159600000.0,45,Venta Directa Flotas,140900000.0,167500000.0,Vendido,CLI-130,Dealer / Reventa
SIM-1091,Chevrolet,Tracker,2024,33118,Bueno,83000000.0,94300000.0,60,Subasta Virtual,89900000.0,0.0,Retirado,N/A,N/A
SIM-1092,Kia,Sportage,2018,172156,Bueno,63700000.0,79300000.0,15,Subasta Virtual,70400000.0,78900000.0,Vendido,CLI-148,Dealer / Reventa
SIM-1093,Kia,Picanto,2019,171033,Excelente,27500000.0,37100000.0,60,Venta Directa Flotas,30800000.0,0.0,No Adjudicado,N/A,N/A
SIM-1094,Chevrolet,Tracker,2019,169788,Bueno,56000000.0,74000000.0,45,Subasta Virtual,58400000.0,60300000.0,Vendido,CLI-149,Financiera Partner
SIM-1095,Toyota,Corolla,2020,140935,Siniestro Parcial,70900000.0,81000000.0,120,Subasta Virtual,75100000.0,0.0,No Adjudicado,N/A,N/A
SIM-1096,Toyota,Corolla,2023,65166,Regular,85000000.0,103700000.0,15,Concesionario Aliado,90600000.0,94700000.0,Vendido,CLI-129,Persona Natural
SIM-1097,Kia,Picanto,2023,72331,Excelente,35200000.0,45500000.0,60,Subasta Virtual,35900000.0,35600000.0,Vendido,CLI-118,Dealer / Reventa
SIM-1098,Hyundai,Tucson,2019,89598,Bueno,77400000.0,88100000.0,90,Concesionario Aliado,83400000.0,92600000.0,Vendido,CLI-113,Dealer / Reventa
SIM-1099,Mazda,Mazda 3,2021,70227,Bueno,64300000.0,84700000.0,15,Subasta Virtual,71600000.0,82200000.0,Vendido,CLI-107,Persona Natural
SIM-1100,Kia,Sportage,2021,113296,Regular,77000000.0,106800000.0,15,Subasta Virtual,82800000.0,0.0,No Adjudicado,N/A,N/A
SIM-1101,Chevrolet,Tracker,2020,121281,Bueno,65100000.0,74200000.0,30,Subasta Virtual,71500000.0,83100000.0,Vendido,CLI-110,Dealer / Reventa
SIM-1102,Chevrolet,Tracker,2020,79995,Bueno,64700000.0,74400000.0,120,Subasta Virtual,67900000.0,67600000.0,Vendido,CLI-110,Empresa Flotilla
SIM-1103,Mazda,Mazda 3,2021,123276,Bueno,63800000.0,74200000.0,150,Subasta Virtual,69900000.0,68900000.0,Vendido,CLI-106,Dealer / Reventa
SIM-1104,Renault,Duster,2020,108546,Excelente,46500000.0,62400000.0,120,Concesionario Aliado,49900000.0,0.0,No Adjudicado,N/A,N/A
SIM-1105,Chevrolet,Tracker,2022,93138,Excelente,57700000.0,77900000.0,150,Venta Directa Flotas,64100000.0,0.0,Retirado,N/A,N/A
SIM-1106,Renault,Duster,2020,141739,Excelente,57400000.0,73100000.0,15,Subasta Virtual,62300000.0,74000000.0,Vendido,CLI-116,Empresa Flotilla
SIM-1107,Hyundai,Tucson,2019,154153,Regular,74000000.0,87700000.0,90,Venta Directa Flotas,76500000.0,91900000.0,Vendido,CLI-103,Dealer / Reventa
SIM-1108,Kia,Picanto,2018,121744,Excelente,28900000.0,35400000.0,45,Subasta Virtual,31400000.0,35200000.0,Vendido,CLI-108,Dealer / Reventa
SIM-1109,Chevrolet,Onix,2018,145913,Excelente,34900000.0,44600000.0,45,Venta Directa Flotas,38600000.0,0.0,No Adjudicado,N/A,N/A
SIM-1110,Mazda,Mazda 3,2022,77687,Bueno,59100000.0,80200000.0,15,Subasta Virtual,62300000.0,0.0,Retirado,N/A,N/A
SIM-1111,Chevrolet,Onix,2021,62158,Bueno,40900000.0,52700000.0,15,Subasta Virtual,44000000.0,51600000.0,Vendido,CLI-134,Dealer / Reventa
SIM-1112,Hyundai,Tucson,2019,86874,Excelente,70600000.0,84700000.0,120,Subasta Virtual,77000000.0,0.0,No Adjudicado,N/A,N/A
SIM-1113,Renault,Kwid,2020,141795,Regular,31900000.0,43500000.0,45,Subasta Virtual,34600000.0,40000000.0,Vendido,CLI-111,Persona Natural
SIM-1114,Hyundai,Tucson,2019,103948,Bueno,67300000.0,78300000.0,150,Subasta Virtual,74000000.0,81400000.0,Vendido,CLI-118,Dealer / Reventa
SIM-1115,Renault,Duster,2019,143179,Bueno,60100000.0,68600000.0,15,Subasta Virtual,61500000.0,67100000.0,Vendido,CLI-130,Financiera Partner
SIM-1116,Kia,Sportage,2022,67294,Excelente,82100000.0,105900000.0,180,Concesionario Aliado,88500000.0,102100000.0,Vendido,CLI-136,Persona Natural
SIM-1117,Chevrolet,Tracker,2022,62760,Bueno,73300000.0,83400000.0,30,Subasta Virtual,80900000.0,94300000.0,Vendido,CLI-136,Financiera Partner
SIM-1118,Toyota,Hilux,2021,86847,Bueno,134700000.0,167900000.0,15,Subasta Virtual,142800000.0,159800000.0,Vendido,CLI-120,Empresa Flotilla
SIM-1119,Mazda,Mazda 3,2022,92615,Bueno,64600000.0,82400000.0,15,Venta Directa Flotas,68500000.0,71000000.0,Vendido,CLI-110,Dealer / Reventa
SIM-1120,Kia,Sportage,2020,107055,Regular,72000000.0,96800000.0,45,Subasta Virtual,76000000.0,85500000.0,Vendido,CLI-147,Empresa Flotilla
SIM-1121,Mazda,CX-5,2022,92939,Bueno,95800000.0,121000000.0,45,Subasta Virtual,107200000.0,111000000.0,Vendido,CLI-126,Dealer / Reventa
SIM-1122,Toyota,Hilux,2019,93401,Bueno,101500000.0,138300000.0,45,Subasta Virtual,108400000.0,106700000.0,Vendido,CLI-125,Empresa Flotilla
SIM-1123,Kia,Picanto,2021,82272,Excelente,33500000.0,41700000.0,45,Subasta Virtual,34700000.0,0.0,No Adjudicado,N/A,N/A
SIM-1124,Toyota,Corolla,2024,35537,Excelente,85200000.0,102900000.0,90,Venta Directa Flotas,94000000.0,0.0,No Adjudicado,N/A,N/A
SIM-1125,Chevrolet,Tracker,2019,153935,Regular,62000000.0,72200000.0,15,Concesionario Aliado,67000000.0,0.0,Retirado,N/A,N/A
SIM-1126,Mazda,CX-5,2021,99322,Regular,80500000.0,108000000.0,30,Concesionario Aliado,88200000.0,92500000.0,Vendido,CLI-111,Persona Natural
SIM-1127,Mazda,Mazda 3,2020,131458,Bueno,65400000.0,77000000.0,60,Concesionario Aliado,67500000.0,66200000.0,Vendido,CLI-115,Empresa Flotilla
SIM-1128,Kia,Sportage,2020,106998,Bueno,76000000.0,97200000.0,15,Subasta Virtual,78100000.0,89100000.0,Vendido,CLI-110,Persona Natural
SIM-1129,Kia,Picanto,2020,109376,Bueno,34500000.0,42900000.0,15,Subasta Virtual,36600000.0,40600000.0,Vendido,CLI-115,Dealer / Reventa
SIM-1130,Toyota,Hilux,2023,36711,Excelente,178100000.0,204000000.0,15,Venta Directa Flotas,197700000.0,237700000.0,Vendido,CLI-115,Dealer / Reventa
SIM-1131,Mazda,Mazda 3,2019,131600,Regular,54300000.0,66300000.0,45,Subasta Virtual,58500000.0,67400000.0,Vendido,CLI-102,Dealer / Reventa
SIM-1132,Renault,Kwid,2023,69517,Excelente,35500000.0,48000000.0,60,Subasta Virtual,39000000.0,46800000.0,Vendido,CLI-120,Empresa Flotilla
SIM-1133,Toyota,Hilux,2023,40379,Bueno,155400000.0,193200000.0,15,Subasta Virtual,167700000.0,0.0,No Adjudicado,N/A,N/A
SIM-1134,Toyota,Corolla,2020,99566,Regular,79400000.0,91900000.0,15,Subasta Virtual,87500000.0,99800000.0,Vendido,CLI-118,Persona Natural
SIM-1135,Kia,Sportage,2021,107896,Excelente,76300000.0,102100000.0,90,Subasta Virtual,78000000.0,87800000.0,Vendido,CLI-132,Empresa Flotilla
SIM-1136,Kia,Picanto,2020,149047,Bueno,32900000.0,41200000.0,15,Subasta Virtual,35000000.0,40100000.0,Vendido,CLI-139,Dealer / Reventa
SIM-1137,Renault,Duster,2021,110220,Bueno,60800000.0,70300000.0,30,Venta Directa Flotas,64500000.0,68500000.0,Vendido,CLI-139,Dealer / Reventa
SIM-1138,Chevrolet,Onix,2023,60966,Bueno,46600000.0,63800000.0,30,Venta Directa Flotas,48600000.0,49800000.0,Vendido,CLI-102,Financiera Partner
SIM-1139,Chevrolet,Tracker,2020,98018,Excelente,62200000.0,78600000.0,45,Concesionario Aliado,67400000.0,0.0,No Adjudicado,N/A,N/A
SIM-1140,Kia,Sportage,2018,132147,Regular,68000000.0,80800000.0,45,Concesionario Aliado,71000000.0,72200000.0,Vendido,CLI-105,Persona Natural
SIM-1141,Toyota,Corolla,2021,100533,Regular,78600000.0,97900000.0,15,Subasta Virtual,86700000.0,0.0,No Adjudicado,N/A,N/A
SIM-1142,Renault,Kwid,2020,78836,Bueno,31000000.0,39900000.0,120,Subasta Virtual,32900000.0,37000000.0,Vendido,CLI-155,Dealer / Reventa
SIM-1143,Mazda,Mazda 3,2021,73553,Excelente,73900000.0,86300000.0,120,Concesionario Aliado,78200000.0,0.0,Retirado,N/A,N/A
SIM-1144,Mazda,Mazda 3,2019,113350,Excelente,56800000.0,66800000.0,15,Subasta Virtual,63400000.0,76300000.0,Vendido,CLI-102,Dealer / Reventa
SIM-1145,Mazda,Mazda 3,2020,142064,Bueno,56600000.0,76300000.0,90,Concesionario Aliado,62400000.0,63000000.0,Vendido,CLI-121,Dealer / Reventa
SIM-1146,Kia,Picanto,2019,95105,Regular,29700000.0,35200000.0,45,Concesionario Aliado,31100000.0,0.0,No Adjudicado,N/A,N/A
SIM-1147,Nissan,Versa,2021,63987,Bueno,47000000.0,63200000.0,60,Subasta Virtual,52600000.0,60300000.0,Vendido,CLI-109,Dealer / Reventa
SIM-1148,Kia,Picanto,2019,93195,Excelente,27200000.0,35400000.0,45,Subasta Virtual,30500000.0,0.0,No Adjudicado,N/A,N/A
SIM-1149,Renault,Kwid,2019,149912,Bueno,34500000.0,40300000.0,60,Venta Directa Flotas,36400000.0,39900000.0,Vendido,CLI-107,Persona Natural
SIM-1150,Mazda,Mazda 3,2024,34883,Bueno,67600000.0,91200000.0,60,Venta Directa Flotas,70200000.0,74200000.0,Vendido,CLI-126,Dealer / Reventa
SIM-1151,Mazda,CX-5,2019,117798,Bueno,66100000.0,91000000.0,30,Subasta Virtual,69200000.0,69900000.0,Vendido,CLI-134,Dealer / Reventa
SIM-1152,Hyundai,Tucson,2022,92697,Siniestro Parcial,87700000.0,107200000.0,30,Subasta Virtual,90300000.0,108900000.0,Vendido,CLI-102,Dealer / Reventa
SIM-1153,Chevrolet,Onix,2023,53997,Bueno,49800000.0,57600000.0,45,Concesionario Aliado,54000000.0,53800000.0,Vendido,CLI-124,Persona Natural
SIM-1154,Mazda,CX-5,2022,50166,Bueno,97300000.0,117400000.0,15,Subasta Virtual,99900000.0,120800000.0,Vendido,CLI-121,Dealer / Reventa
SIM-1155,Renault,Kwid,2020,86445,Excelente,35700000.0,43200000.0,15,Venta Directa Flotas,39100000.0,38500000.0,Vendido,CLI-132,Empresa Flotilla
SIM-1156,Chevrolet,Onix,2020,101791,Excelente,45800000.0,55900000.0,15,Venta Directa Flotas,50300000.0,55700000.0,Vendido,CLI-150,Dealer / Reventa
SIM-1157,Renault,Kwid,2020,117428,Regular,36400000.0,44600000.0,60,Venta Directa Flotas,37600000.0,45200000.0,Vendido,CLI-155,Dealer / Reventa
SIM-1158,Toyota,Corolla,2020,145559,Excelente,70600000.0,86300000.0,15,Subasta Virtual,78300000.0,82100000.0,Vendido,CLI-132,Dealer / Reventa
SIM-1159,Toyota,Hilux,2023,65446,Regular,160000000.0,210400000.0,30,Venta Directa Flotas,175600000.0,179600000.0,Vendido,CLI-122,Persona Natural
SIM-1160,Kia,Picanto,2024,27424,Regular,36000000.0,48200000.0,60,Subasta Virtual,38500000.0,0.0,No Adjudicado,N/A,N/A
SIM-1161,Nissan,Versa,2022,53508,Excelente,55400000.0,67700000.0,15,Venta Directa Flotas,61400000.0,62500000.0,Vendido,CLI-158,Dealer / Reventa
SIM-1162,Chevrolet,Onix,2022,58085,Bueno,48100000.0,62900000.0,90,Subasta Virtual,52600000.0,0.0,No Adjudicado,N/A,N/A
SIM-1163,Chevrolet,Tracker,2020,72407,Excelente,61600000.0,76200000.0,60,Venta Directa Flotas,64100000.0,0.0,No Adjudicado,N/A,N/A
SIM-1164,Nissan,Versa,2022,74106,Bueno,54600000.0,68700000.0,15,Venta Directa Flotas,60000000.0,60800000.0,Vendido,CLI-138,Dealer / Reventa
SIM-1165,Toyota,Corolla,2019,100500,Bueno,56200000.0,75300000.0,30,Concesionario Aliado,60200000.0,0.0,No Adjudicado,N/A,N/A
SIM-1166,Kia,Sportage,2021,103970,Excelente,83000000.0,101700000.0,60,Concesionario Aliado,88800000.0,88300000.0,Vendido,CLI-145,Persona Natural
SIM-1167,Kia,Sportage,2022,70890,Bueno,90000000.0,112100000.0,15,Subasta Virtual,92600000.0,104000000.0,Vendido,CLI-159,Persona Natural
